案件編號,查報日期,來源編號,查報地點,損壞情況,損壞狀況
111091503833, 111/09/15 00:00,中山巡1110905823,中山區明水路385號,龜裂,觀察
111091503838, 111/09/15 00:00,中山巡1110905713,中山區八德路2段266巷260號,鋪面破損,觀察
111091503849, 111/09/15 00:00,中山巡1110905717,中山區安東街2-12號,縱向及橫向裂縫,觀察
111091503852, 111/09/15 00:00,中山巡1110905718,中山區安東街1-8號,縱向及橫向裂縫,觀察
111091503857, 111/09/15 00:00,中山巡1110905824,中山區明水路341號,龜裂,觀察
111091503876, 111/09/15 00:00,中山巡1110905830,中山區八德路2段300巷80號,溝蓋路邊緣石,觀察
111091503898, 111/09/15 00:00,中山巡1110905606,中山區八德路2段112號,人手孔缺失,觀察
111091503903, 111/09/15 00:00,中山巡1110905721,中山區安東街3號,縱向及橫向裂縫,觀察
111091503906, 111/09/15 00:00,中山巡1110905722,中山區安東街5-5號,龜裂,觀察
111091503916, 111/09/15 00:00,中山巡1110905725,中山區安東街13號,縱向及橫向裂縫,觀察
111091503929, 111/09/15 00:00,中山巡1110905833,中山區八德路2段300巷66號,側溝蓋破損,觀察
111091503932, 111/09/15 00:00,中山巡1110905834,中山區八德路2段300巷58號,孔蓋周邊破損,觀察
111091503937, 111/09/15 00:00,中山巡1110905836,中山區八德路2段300巷58號,側溝蓋破損,觀察
111091503939, 111/09/15 00:00,中山巡1110905837,中山區八德路2段300巷46號,縱向及橫向裂縫,觀察
111091503942, 111/09/15 00:00,中山巡1110905607,中山區八德路2段146號,人手孔缺失,觀察
111091503949, 111/09/15 00:00,中山巡1110905609,中山區八德路2段146巷1弄12號,縱向及橫向裂縫,觀察
111091503952, 111/09/15 00:00,中山巡1110905610,中山區崇實路127號,龜裂,觀察
111091503958, 111/09/15 00:00,中山巡1110905612,中山區崇實路79-2號,龜裂,觀察
111091503963, 111/09/15 00:00,中山巡1110905727,中山區安東街13號,縱向及橫向裂縫,觀察
111091503972, 111/09/15 00:00,中山巡1110905730,中山區市民大道3段175號,鋪面破損,觀察
111091503974, 111/09/15 00:00,中山巡1110905731,中山區市民大道3段173號,縱向及橫向裂縫,觀察
111091503983, 111/09/15 00:00,中山巡1110905838,中山區八德路2段300號,縱向及橫向裂縫,觀察
111091503986, 111/09/15 00:00,中山巡1110905839,中山區建國北路3段往北過民權東路15公尺,縱向及橫向裂縫,觀察
